,macid,tt,hr,br,temp,local
10221,54:6c:0e:d0:34:28,2021-11-20 15:22:21,0,0,2745,c003
10222,54:6c:0e:d0:34:28,2021-11-20 15:22:22,0,0,2745,c003
10223,54:6c:0e:d0:34:28,2021-11-20 15:22:23,0,0,2745,c003
10224,54:6c:0e:d0:34:28,2021-11-20 15:22:24,0,0,2745,c003
10225,54:6c:0e:d0:34:28,2021-11-20 15:22:25,0,0,2745,c003
10226,54:6c:0e:d0:34:28,2021-11-20 15:22:26,0,0,2745,c003
10227,54:6c:0e:d0:34:28,2021-11-20 15:22:27,0,0,2745,c003
10228,54:6c:0e:d0:34:28,2021-11-20 15:22:28,0,0,2744,c003
10229,54:6c:0e:d0:34:28,2021-11-20 15:22:29,0,0,2745,c003
10230,54:6c:0e:d0:34:28,2021-11-20 15:22:30,0,0,2745,c003
10231,54:6c:0e:d0:34:28,2021-11-20 15:22:31,0,0,2744,c003
10232,54:6c:0e:d0:34:28,2021-11-20 15:22:32,0,0,2744,c003
10233,54:6c:0e:d0:34:28,2021-11-20 15:22:33,0,0,2744,c003
10234,54:6c:0e:d0:34:28,2021-11-20 15:22:34,0,0,2744,c003
10235,54:6c:0e:d0:34:28,2021-11-20 15:22:35,0,0,2744,c003
10236,54:6c:0e:d0:34:28,2021-11-20 15:22:36,0,0,2744,c003
10237,54:6c:0e:d0:34:28,2021-11-20 15:22:37,0,0,2744,c003
10238,54:6c:0e:d0:34:28,2021-11-20 15:22:38,0,0,2744,c003
10239,54:6c:0e:d0:34:28,2021-11-20 15:22:39,0,0,2744,c003
10240,54:6c:0e:d0:34:28,2021-11-20 15:22:40,0,0,2743,c003
10241,54:6c:0e:d0:34:28,2021-11-20 15:22:41,0,0,2743,c003
10242,54:6c:0e:d0:34:28,2021-11-20 15:22:42,0,0,2744,c003
10243,54:6c:0e:d0:34:28,2021-11-20 15:22:43,0,0,2744,c003
10244,54:6c:0e:d0:34:28,2021-11-20 15:22:44,0,0,2743,c003
10245,54:6c:0e:d0:34:28,2021-11-20 15:22:45,0,0,2743,c003
10246,54:6c:0e:d0:34:28,2021-11-20 15:22:46,0,0,2743,c003
10247,54:6c:0e:d0:34:28,2021-11-20 15:22:47,0,0,2743,c003
10248,54:6c:0e:d0:34:28,2021-11-20 15:22:48,0,0,2743,c003
10249,54:6c:0e:d0:34:28,2021-11-20 15:22:49,0,0,2743,c003
10250,54:6c:0e:d0:34:28,2021-11-20 15:22:50,0,0,2743,c003
10251,54:6c:0e:d0:34:28,2021-11-20 15:22:51,0,0,2742,c003
10252,54:6c:0e:d0:34:28,2021-11-20 15:22:52,0,0,2743,c003
10253,54:6c:0e:d0:34:28,2021-11-20 15:22:53,0,0,2742,c003
10254,54:6c:0e:d0:34:28,2021-11-20 15:22:54,0,0,2742,c003
10255,54:6c:0e:d0:34:28,2021-11-20 15:22:55,0,0,2742,c003
10256,54:6c:0e:d0:34:28,2021-11-20 15:22:56,0,0,2742,c003
10257,54:6c:0e:d0:34:28,2021-11-20 15:22:57,0,0,2743,c003
10258,54:6c:0e:d0:34:28,2021-11-20 15:22:58,0,0,2742,c003
10259,54:6c:0e:d0:34:28,2021-11-20 15:22:59,0,0,2742,c003
10260,54:6c:0e:d0:34:28,2021-11-20 15:23:00,0,0,2742,c003
10261,54:6c:0e:d0:34:28,2021-11-20 15:23:01,0,0,2743,c003
10262,54:6c:0e:d0:34:28,2021-11-20 15:23:02,0,0,2742,c003
10263,54:6c:0e:d0:34:28,2021-11-20 15:23:03,0,0,2742,c003
10264,54:6c:0e:d0:34:28,2021-11-20 15:23:04,0,0,2742,c003
10265,54:6c:0e:d0:34:28,2021-11-20 15:23:05,0,0,2741,c003
10266,54:6c:0e:d0:34:28,2021-11-20 15:23:06,0,0,2741,c003
10267,54:6c:0e:d0:34:28,2021-11-20 15:23:07,0,0,2742,c003
10268,54:6c:0e:d0:34:28,2021-11-20 15:23:08,0,0,2742,c003
10269,54:6c:0e:d0:34:28,2021-11-20 15:23:09,0,0,2742,c003
10270,54:6c:0e:d0:34:28,2021-11-20 15:23:10,0,0,2741,c003
10271,54:6c:0e:d0:34:28,2021-11-20 15:23:11,0,0,2742,c003
10272,54:6c:0e:d0:34:28,2021-11-20 15:23:12,0,0,2741,c003
10273,54:6c:0e:d0:34:28,2021-11-20 15:23:13,0,0,2741,c003
10274,54:6c:0e:d0:34:28,2021-11-20 15:23:14,0,0,2741,c003
10275,54:6c:0e:d0:34:28,2021-11-20 15:23:15,0,0,2741,c003
